iter	Passed	Remaining
0	153	153432
1	158	78937
2	161	53776
3	163	40747
4	165	33016
5	168	27873
6	170	24136
7	172	21336
8	174	19182
9	177	17525
10	178	16086
11	181	14911
12	183	13894
13	184	13019
14	186	12233
15	188	11586
16	189	10977
17	191	10421
18	192	9944
19	193	9498
20	194	9088
21	195	8712
22	196	8368
23	197	8051
24	199	7762
25	200	7493
26	201	7254
27	202	7040
28	203	6822
29	204	6624
30	205	6433
31	206	6258
32	207	6090
33	208	5932
34	209	5781
35	210	5637
36	211	5499
37	212	5371
38	213	5249
39	213	5134
40	215	5031
41	215	4926
42	216	4825
43	217	4728
44	218	4639
45	219	4551
46	220	4467
47	221	4387
48	222	4311
49	222	4236
50	223	4163
51	224	4093
52	225	4027
53	226	3963
54	228	3925
55	229	3871
56	230	3815
57	231	3767
58	234	3738
59	235	3686
60	236	3634
61	236	3585
62	237	3539
63	238	3492
64	240	3458
65	242	3426
66	242	3383
67	243	3340
68	244	3304
69	245	3266
70	246	3228
71	247	3192
72	248	3156
73	249	3119
74	250	3085
75	251	3051
76	251	3020
77	252	2988
78	253	2960
79	254	2931
80	255	2902
81	256	2875
82	257	2849
83	258	2822
84	259	2792
85	260	2766
86	260	2737
87	261	2713
88	262	2688
89	263	2663
90	264	2639
91	265	2616
92	266	2596
93	267	2578
94	268	2557
95	269	2536
96	270	2515
97	271	2497
98	272	2483
99	273	2463
100	274	2443
101	274	2420
102	275	2402
103	276	2382
104	277	2365
105	278	2347
106	279	2333
107	280	2317
108	281	2303
109	282	2288
110	284	2274
111	285	2260
112	285	2244
113	286	2229
114	287	2213
115	288	2197
116	289	2182
117	290	2167
118	290	2152
119	291	2137
120	292	2125
121	293	2113
122	294	2098
123	295	2084
124	296	2072
125	297	2060
126	298	2049
127	298	2035
128	299	2022
129	300	2010
130	301	1999
131	302	1987
132	303	1975
133	303	1963
134	304	1952
135	305	1941
136	306	1933
137	307	1921
138	308	1911
139	309	1902
140	310	1891
141	311	1881
142	312	1871
143	313	1862
144	314	1852
145	315	1842
146	315	1833
147	316	1824
148	317	1814
149	319	1808
150	320	1801
151	321	1793
152	322	1784
153	323	1776
154	324	1767
155	325	1759
156	326	1751
157	327	1743
158	327	1734
159	328	1726
160	329	1717
161	330	1710
162	331	1702
163	332	1694
164	333	1687
165	334	1679
166	335	1671
167	336	1666
168	337	1659
169	338	1652
170	339	1644
171	340	1637
172	341	1630
173	342	1623
174	342	1616
175	343	1609
176	344	1603
177	346	1599
178	347	1592
179	348	1585
180	348	1577
181	350	1576
182	351	1570
183	352	1564
184	353	1558
185	354	1553
186	355	1546
187	356	1540
188	357	1534
189	358	1529
190	359	1523
191	360	1517
192	361	1511
193	362	1506
194	363	1499
195	364	1494
196	365	1489
197	366	1483
198	367	1477
199	367	1471
200	368	1465
201	369	1460
202	370	1454
203	371	1449
204	372	1445
205	373	1439
206	374	1434
207	375	1430
208	376	1425
209	377	1420
210	378	1414
211	379	1409
212	379	1403
213	380	1399
214	381	1394
215	382	1388
216	383	1384
217	385	1381
218	386	1377
219	387	1372
220	388	1368
221	389	1363
222	390	1359
223	391	1355
224	392	1351
225	393	1346
226	394	1341
227	394	1337
228	396	1333
229	396	1329
230	398	1325
231	398	1320
232	399	1316
233	400	1312
234	402	1309
235	403	1304
236	403	1300
237	404	1295
238	405	1291
239	406	1287
240	407	1283
241	408	1278
242	409	1274
243	409	1270
244	411	1268
245	412	1264
246	413	1260
247	414	1256
248	415	1253
249	416	1249
250	417	1245
251	418	1241
252	419	1237
253	420	1233
254	421	1230
255	421	1226
256	422	1222
257	423	1218
258	424	1215
259	425	1212
260	426	1208
261	427	1205
262	428	1201
263	429	1198
264	430	1194
265	431	1190
266	432	1187
267	433	1183
268	434	1180
269	435	1176
270	436	1173
271	437	1170
272	438	1166
273	439	1163
274	439	1159
275	441	1156
276	441	1153
277	443	1151
278	444	1147
279	445	1144
280	445	1141
281	446	1137
282	447	1134
283	448	1131
284	449	1127
285	450	1125
286	451	1122
287	452	1119
288	453	1115
289	454	1113
290	455	1109
291	456	1107
292	457	1104
293	458	1100
294	459	1097
295	460	1094
296	461	1091
297	462	1088
298	463	1085
299	464	1082
300	465	1080
301	466	1077
302	468	1076
303	468	1073
304	469	1070
305	470	1067
306	471	1064
307	472	1061
308	473	1058
309	474	1055
310	475	1052
311	476	1049
312	477	1048
313	478	1045
314	479	1042
315	480	1039
316	481	1037
317	482	1035
318	483	1032
319	484	1029
320	485	1026
321	486	1023
322	487	1020
323	488	1018
324	488	1015
325	489	1012
326	491	1010
327	492	1008
328	493	1005
